inn;region;okved;okved_group
5405095137;novosibirsk;93.19;93
3849052251;irkutsk;43.22;43
7328050693;ulyanovsk;49.41;49
2635208132;tyumen;62.09;62
7327048010;ulyanovsk;41.20;41
5751035447;oryol;86.23;86
4205312706;kemerovo;46.31;46
2221257047;altai terr.;69.10;69
0547010475;dagestan;41.20;41
7610090978;yaroslavl;41.20;41
1328018723;mordovia;70.22;70
3443134577;volgograd;43.22;43
6952315767;tver;14.20;14
4205347160;kemerovo;69.10;69
1101159487;komi;46.73;46
7728493146;moscow city;41.20;41
7328056335;ulyanovsk;73.11;73
3461068260;volgograd;70.10.20;70
0326600571;buryatia;73.20;73
0326569579;buryatia;70.22;70
4400011251;kostroma;70.22;70
2447008412;krasnoyarsk;47.25.11;47
0277958900;bashkortostan;46.75;46
1827020326;udmurtia;56.10;56
8706006383;chukotka;47.11;47
0601018122;ingushetia;68.20.20;68
7802927177;sankt-petersburg;62.01;62
7708369158;kurgan;26.51.40;26
3015090323;astrakhan;41.20;41
2287004255;altai terr.;94.20;94
4813014536;lipetzk;64.92.10;64
1006009210;karelia;01.19;01
5249119589;nizhni novgorod;46.69.90;46
7116131012;tula;47.52.73;47
5259077666;nizhni novgorod;25.30.22;25
7807088990;sankt-petersburg;71.12.10;71
1215224098;marij el;94.99;94
2222822968;altai terr.;47.54;47
2130028240;chuvashia;45.11.10;45
7327032170;ulyanovsk;73.11;73
7720870642;moscow city;43.11;43
1650436011;tatarstan;43.22;43
2721084924;khabarovsk;59.11;59
7203283117;tyumen;49.41;49
0716010472;kabardino-balkaria;46.44;46
7610109121;yaroslavl;70.22;70
6321431923;samara;47.30;47
7300010796;ulyanovsk;43.91;43
3702235351;ivanovo;43.39;43
7718773835;moscow city;61.10;61
2901224909;arkhangelsk;47.73;47
0917041664;karachaevo-chercessia;42.11;42
3702104670;kostroma;42.11;42
5047197961;moscow reg.;46.71.10;46
5321178789;novgorod;45.31.10;45
7702467367;moscow city;49.41;49
1838022967;udmurtia;86.23;86
5248042781;nizhni novgorod;94.99;94
5507252967;omsk;41.20;41
3528257218;vologda;96.04;96
1655487267;tatarstan;56.10.10;56
1435315664;yakutia;42.21;42
9103082756;crimea;86.90.40;86
2721139806;khabarovsk;62.02;62
5407499167;novosibirsk;69.20;69
1300006848;mordovia;25.62;25
7743381430;moscow city;41.20;41
6729024339;smolensk;73.11;73
1511008805;north ossetia;01.11.10;01
2623027325;stavropol;41.20;41
2012011392;chechnya;41.20;41
3808001120;irkutsk;43.21;43
3528038720;vologda;68.32;68
5609202080;orenburg;49.41;49
7536139254;zabaikalsk terr.;42.11;42
0306217875;buryatia;73.20;73
6025012070;pskov;42.11;42
7515008476;zabaikalsk terr.;56.10.10;56
3662263310;voronezh;42.21;42
1660307199;tatarstan;41.20;41
0503009480;dagestan;01.45.10;01
4708013438;leningrad;52.23;52
4501225362;kurgan;47.99;47
8602076273;khanty-mansijsk;86.23;86
2357003868;krasnodar;94.99;94
7204180731;tyumen;41.20;41
7726654253;moscow city;69.20;69
4513008010;kurgan;01.11.10;01
5751035662;oryol;25.62;25
7610108110;yaroslavl;70.22;70
7838073289;leningrad;73.11;73
2014022520;chechnya;45.20;45
3810315149;irkutsk;55.20;55
2801148940;amur;25.10;25
0326573046;buryatia;46.46.20;46
1683007890;tatarstan;01.41.10;01
7705803095;moscow city;71.10;71
9726014320;moscow city;47.91;47
5837074529;penza;49.41;49
4909097090;magadan;71.20.80;71
9402015451;luhansk;56.10;56
4240008787;novosibirsk;46.34.23;46
2461023620;krasnoyarsk;46.73;46
3126008170;belgorod;85.14;85
5321163013;novgorod;43.39;43
7805768831;sankt-petersburg;46.90;46
1215207582;marij el;47.19;47
2700017772;khabarovsk;49.42;49
5800001355;penza;01.29;01
1515908229;north ossetia;73.11;73
7604253529;yaroslavl;70.22;70
2315129611;krasnodar;46.90;46
7701901687;moscow city;70.22;70
6138003943;rostov;94.20;94
0276132163;bashkortostan;46.18;46
9108115677;crimea;42.11;42
0403004720;altai rep.;01.70;01
1105020535;komi;69;69
5250068226;nizhni novgorod;45.11.20;45
0507026775;dagestan;01.42.10;01
5836629200;penza;79.11;79
3443150674;volgograd;25.11;25
0277967260;bashkortostan;62.01;62
1208004888;marij el;42.11;42
5035016346;moscow reg.;25.99;25
5448952876;novosibirsk;53.20.30;53
9311011428;donetsk;86.23;86
2902073177;arkhangelsk;93.19;93
1400018847;yakutia;47.54;47
9725098543;moscow city;33.12;33
1101145741;komi;47.19;47
4501082805;kurgan;52.21.24;52
3804050053;irkutsk;49.41;49
2720059594;khabarovsk;35.21;35
7723583269;moscow city;72.19;72
7703472786;moscow city;46.31;46
5038168026;moscow reg.;43.31;43
8603241875;khanty-mansijsk;69.10;69
3123148644;belgorod;68.20;68
4401046867;kostroma;52.21.24;52
1400034687;yakutia;69.10;69
6230076037;ryazan;45.31.10;45
0562064475;dagestan;56.10;56
3254511734;bryansk;68.30;68
9101002360;crimea;68.20;68
4345466135;kirov;47.78;47
1513051612;north ossetia;69.10;69
6455999348;saratov;94.99;94
6829034193;tambov;45.31.10;45
4634008938;kursk;43.11;43
4025416720;kaluga;62.09;62
7017217734;tomsk;43.99;43
6164273093;rostov;69.20;69
4206023954;kemerovo;01.49.20;01
7453272735;chelyabinsk;49.40;49
7838304360;sankt-petersburg;25.30.10;25
6312181770;samara;42.11;42
3329099246;vladimir;62.09;62
1901134869;khakasia;49.42;49
7704804201;moscow city;68.32;68
6317156505;samara;43.29;43
5190013332;murmansk;93.29;93
0500014001;dagestan;52.29;52
4633037703;kursk;94.99;94
6949114620;tver;45.11.20;45
4253998482;kemerovo;93.19;93
0300017206;buryatia;45.31;45
8904039510;yamal-nenets ao;43.12.30;43
1675002263;tatarstan;25.62;25
2464116640;krasnoyarsk;41.20;41
4633041925;kursk;22.22;22
3804121280;irkutsk;41.20;41
1011009430;karelia;68.32;68
1435356131;yakutia;71.20.80;71
3305799591;vladimir;69.10;69
5904401164;perm;42.21;42
2901277925;arkhangelsk;47.19;47
0400026162;altai rep.;52.10;52
1831199203;udmurtia;56.10;56
7841320393;leningrad;62.01;62
6449091371;saratov;46.71;46
0573014701;dagestan;25.11;25
2014801050;chechnya;46.73;46
4501224111;kurgan;56.10;56
7416073072;chelyabinsk;56.10;56
6445007851;saratov;01.11.10;01
3316999000;vladimir;94.99;94
5259044396;nizhni novgorod;62.01;62
2502068052;primorsky terr.;94.99;94
5835009644;penza;68.32.20;68
1003101520;karelia;52.21.24;52
1838023142;udmurtia;68.32;68
3906399012;kaliningrad;25.99.29;25
7806604762;sankt-petersburg;43.99;43
6703004200;smolensk;01.11;01
4212040066;kemerovo;70.10.10;70
2312208086;krasnodar;35.14;35
5017091573;moscow reg.;45.30;45
0572007941;dagestan;94.99;94
3906320076;kaliningrad;46.38.20;46
1900013156;khakasia;69.10;69
9710110124;moscow city;81.29;81
9402012235;luhansk;52.10;52
1215111760;marij el;56.10;56
8603252877;khanty-mansijsk;49.41.10;49
6230112334;ryazan;62.03;62
2801254931;amur;46.21;46
0721017233;kabardino-balkaria;25.12;25
5008036086;moscow reg.;46.30;46
9731114673;moscow city;81.10;81
3907035378;kaliningrad;69.10;69
6950229907;tver;93.11;93
5403049400;novosibirsk;43.99;43
7445045337;chelyabinsk;69.10;69
3508010639;vologda;45.31;45
1101010536;komi;42.12;42
0706004790;kabardino-balkaria;01.50;01
5642024205;orenburg;69.10;69
0722004283;kabardino-balkaria;68.32;68
4212042899;kemerovo;49.41;49
7536155626;zabaikalsk terr.;01.70;01
1410007883;yakutia;69.20;69
2310119659;krasnodar;90;90
7801352906;sankt-petersburg;63.99;63
9718242404;moscow city;46.90;46
5401302270;novosibirsk;68.20;68
8905051542;yamal-nenets ao;71.20;71
2309139160;krasnodar;46.37;46
3666177292;voronezh;70.10.10;70
9303032960;donetsk;69.10;69
1901069842;khakasia;01.50;01
4338006514;kirov;45.20;45
1327020568;mordovia;69.20;69
7701520113;moscow city;68.10;68
2464142739;krasnoyarsk;46.52;46
7710353123;tver;68.20.20;68
7801669300;sankt-petersburg;79.11;79
7203531761;tyumen;25.62;25
6000003605;pskov;01.13.31;01
9701281966;moscow city;96.02.20;96
1435310264;yakutia;41.20;41
2208009711;altai terr.;56.10;56
1831199041;udmurtia;46.45.10;46
7813660528;sankt-petersburg;46.61.10;46
7704134116;moscow city;71.12.50;71
7604398235;yaroslavl;49.41;49
5503220442;omsk;47.20;47
6315576977;samara;49.41.10;49
7810915256;sankt-petersburg;41.20;41
2005010493;chechnya;71.12.40;71
3827058122;irkutsk;86.23;86
9203001750;sevastopol;49.31;49
4000006183;kaluga;62.01;62
1700001058;tuva;41.20;41
2006002625;chechnya;73.10;73
1328014045;mordovia;93.19;93
9500022111;kherson;01.11;01
0326572130;buryatia;71.12.30;71
2623021732;stavropol;46.51;46
7425008707;chelyabinsk;01.11;01
8709013389;chukotka;94.99;94
0700005371;kabardino-balkaria;42.11;42
2420008292;krasnoyarsk;01.61;01
6504024700;sakhalin;93.19;93
3812083729;irkutsk;41.20;41
9723041414;moscow city;63.11;63
3808135903;irkutsk;69;69
9705226067;moscow city;46.90;46
7017447022;tomsk;41.20;41
6321441921;samara;42.99;42
3602011975;voronezh;41.20;41
3200003967;bryansk;71.12.10;71
2901233283;arkhangelsk;41.20;41
3805106799;irkutsk;52.21.24;52
5190924381;murmansk;45.20;45
0323395684;buryatia;41.20;41
5043077920;moscow reg.;46.43.40;46
8904072081;yamal-nenets ao;62.02;62
5027324361;moscow reg.;82.99;82
3702243458;ivanovo;73.11;73
3511007146;vologda;56.10;56
1007022326;karelia;47.25;47
4706078158;leningrad;45.19;45
4205058915;kemerovo;09.90;09
2700020824;khabarovsk;52.22.10;52
5711002893;oryol;03.21.40;03
2543178671;primorsky terr.;68.10;68
8901017678;yamal-nenets ao;43.12;43
0917024267;karachaevo-chercessia;71.11.10;71
2130076036;chuvashia;25.94;25
7751237623;moscow city;45.20;45
6804007350;tambov;01.13.30;01
7018047980;tomsk;41.20;41
7819313898;sankt-petersburg;47.91.20;47
4705057331;leningrad;25.61;25
4826146392;lipetzk;93.19;93
6829091963;tambov;43.30;43
2630039635;stavropol;71.12.53;71
2130225545;chuvashia;93.19;93
9303004032;donetsk;52.21.24;52
6027133175;pskov;73.10;73
2722130958;khabarovsk;71.10;71
6234188486;ryazan;49.41;49
7701079146;moscow city;73.11;73
3329099052;vladimir;71.20.62;71
6312172976;samara;52.29;52
3664037236;voronezh;71.20;71
2304025610;krasnodar;94.20;94
2540269190;primorsky terr.;62.09;62
7707386344;moscow city;75;75
7328102165;kalmykia;01.61;01
9204562815;sevastopol;25.11;25
7017492434;tomsk;93.11;93
7325011294;ulyanovsk;56.21;56
6315659172;samara;86.23;86
5404060861;novosibirsk;73.11;73
3015061019;astrakhan;73.11;73
9724179616;moscow city;47.19;47
8904050842;yamal-nenets ao;71.12.50;71
6453174359;saratov;94.12;94
5017126177;moscow reg.;16.23;16
1106035125;komi;69.20;69
3812163188;irkutsk;73.11;73
5043061790;moscow reg.;68.20;68
7448148475;chelyabinsk;62.01;62
6455075177;saratov;93.19;93
6321125010;samara;47.78.90;47
2626034377;stavropol;71.12.53;71
6732061316;smolensk;73.11;73
6320069228;samara;70.22;70
2502029381;primorsky terr.;52.21;52
2902056622;arkhangelsk;62.02;62
9713019184;moscow city;62.01;62
4205411993;kemerovo;46.32.10;46
1903015514;khakasia;25.99;25
3810325517;irkutsk;93.10;93
2724238690;khabarovsk;46.71;46
9725167733;moscow city;93.29;93
2031001544;chechnya;93.11;93
7451433024;chelyabinsk;68.10;68
5603015711;orenburg;93.10;93
5406978590;novosibirsk;74.90;74
7604234766;yaroslavl;70.22;70
5906043901;perm;43.12;43
7329021529;ulyanovsk;93.19;93
7604043948;yaroslavl;71.12;71
6679102959;sverdlovsk;26.30.13;26
7734368383;moscow city;71.20;71
3702108152;ivanovo;71.10;71
9001002279;zaporizhzhia;41.10;41
3461065943;volgograd;73.20;73
0816036428;kalmykia;94.99;94
3528314385;vologda;41.20;41
7710948314;moscow city;43.21;43
2014036794;chechnya;93.19;93
5007108475;moscow reg.;43.31;43
1215100906;marij el;71.10;71
4100041093;kamchatka;49.41;49
3128030702;belgorod;42.21;42
4401017538;kostroma;94.99;94
5837035826;penza;69.20;69
1513086164;north ossetia;49.32;49
9203536227;sevastopol;46.69.80;46
8604056138;khanty-mansijsk;45.11.20;45
0816018482;kalmykia;69.20.20;69
4708022337;leningrad;81.29.10;81
3233006040;bryansk;52.21.24;52
9204008205;sevastopol;68.32;68
2225162036;altai terr.;47.72;47
5401981198;novosibirsk;47.71;47
2223599423;altai terr.;41.20;41
2461048576;krasnoyarsk;62.01;62
4821050915;lipetzk;56.10;56
2700013908;khabarovsk;73.11;73
1714004926;tuva;01.45.10;01
0500004885;dagestan;25.30;25
1101172142;komi;73.11;73
2812009272;amur;94.99;94
5256192935;nizhni novgorod;45.31;45
5837027977;penza;86.21;86
9721219613;moscow city;43.31;43
9200016734;sevastopol;46.49.33;46
9201531569;sevastopol;62.01;62
6829107444;tambov;46.46.20;46
6163108731;rostov;25.99;25
1832123045;udmurtia;25.62;25
6732222147;smolensk;73.11;73
2013000594;chechnya;42.11;42
6829022134;tambov;94.99;94
6658361945;sverdlovsk;68.32.20;68
1800021812;udmurtia;69.20.20;69
3666233469;kursk;70.22;70
2635254393;stavropol;42.91;42
7726442971;moscow city;73.11;73
7723400469;ryazan;72.19;72
9310009722;donetsk;43.12;43
0276912660;bashkortostan;56.10;56
7603020881;yaroslavl;94.12;94
1433011685;yakutia;52.21.24;52
3664086191;voronezh;41.20;41
0900009849;karachaevo-chercessia;42.21;42
3025037375;astrakhan;01.11;01
3528336011;vologda;49.41;49
3122014790;belgorod;01.13;01
1215181422;marij el;47.70;47
2801129730;amur;46.40;46
3705063830;ivanovo;68.20;68
1660289870;tatarstan;52.29;52
7500020382;zabaikalsk terr.;43.29;43
6437010603;saratov;68.32.20;68
4025446845;kaluga;10.51;10
9710073240;moscow city;94.12;94
2543047799;primorsky terr.;52.29;52
9723076375;moscow city;68.20;68
3664241143;voronezh;71.20.90;71
1834100780;udmurtia;47.50;47
3913014129;kaliningrad;71.12.10;71
1121027930;komi;93.12;93
9303026357;donetsk;43.99;43
5702007648;oryol;69.20.20;69
7610133646;yaroslavl;20.15;20
5262390727;nizhni novgorod;42.11;42
1513052126;north ossetia;43.29;43
9406010119;luhansk;43.99;43
8619017124;khanty-mansijsk;25.61;25
6023004651;pskov;70.22;70
0708010341;kabardino-balkaria;68.20;68
5703005932;oryol;94.99;94
0562066923;dagestan;56.10;56
3125007864;belgorod;71.12.10;71
2465205854;krasnoyarsk;68.20.20;68
3257080275;bryansk;86.23;86
4400018056;kostroma;62.01;62
9406006497;luhansk;71.12;71
5318009318;novgorod;62;62
2904031648;arkhangelsk;25.11;25
2308010630;krasnodar;56.10;56
3128137244;belgorod;25.61;25
2928001956;arkhangelsk;25.62;25
3019007037;astrakhan;47.10;47
6671203313;sverdlovsk;52.29;52
4401177933;kostroma;69.20;69
0572032095;dagestan;93.21;93
1215229949;marij el;68.20;68
3663080630;voronezh;45.30;45
7203534314;tyumen;62.09;62
3664110831;voronezh;41.20;41
3702523720;ivanovo;45.10;45
0711022604;kabardino-balkaria;45.11.10;45
7805686674;lipetzk;62.01;62
7707778461;moscow city;68.10;68
5501190217;omsk;68.32;68
7612009965;yaroslavl;52.21.24;52
0608060324;ingushetia;01.11;01
2536970090;primorsky terr.;93.19;93
6311031228;samara;68.32.10;68
7722839479;moscow city;06.10;06
5445014825;novosibirsk;68.30;68
3721000764;ivanovo;43.22;43
7714893271;moscow city;86;86
1657057559;tatarstan;73.10;73
1657023567;tatarstan;68.20.20;68
8610020490;khanty-mansijsk;42.21;42
3702735611;ivanovo;43.21;43
2511121753;primorsky terr.;86.21;86
6168117585;rostov;46.71;46
5903073129;perm;41.20;41
6500006690;sakhalin;46.38.26;46
6166038306;rostov;68.32.10;68
3651007153;voronezh;25.61;25
1101174728;komi;93.29;93
3664098831;voronezh;69.20.20;69
7447105990;chelyabinsk;71.20;71
6452922153;saratov;68.20.20;68
6316124444;samara;69;69
7735144770;moscow city;58.14;58
5257201290;nizhni novgorod;71.12.60;71
0400021742;altai rep.;94.99;94
2901097626;arkhangelsk;71.12.30;71
5754023129;oryol;23.69;23
2016005150;chechnya;86.23;86
1651089272;tatarstan;49.41;49
7801651649;sankt-petersburg;94.99;94
9707019267;moscow city;52.10;52
1435361237;yakutia;62.01;62
6377001425;samara;01.11.10;01
1001340322;karelia;49.41;49
5916034180;perm;93.11;93
5250063281;nizhni novgorod;68.32;68
3023023144;astrakhan;49.41;49
9111022077;nizhni novgorod;56.10;56
1300005114;mordovia;49.42;49
9729029389;moscow city;64.99.30;64
5911043209;perm;01.70;01
4027990786;kaluga;68.32.10;68
6730068965;smolensk;73.20.20;73
9304000104;donetsk;93.11;93
5405497661;novosibirsk;47.91.20;47
1840096444;udmurtia;93.12;93
3015089663;astrakhan;25.99;25
5040164702;moscow reg.;46.90;46
9309019395;donetsk;93.12;93
3905078048;kaliningrad;46.90;46
6679160510;sverdlovsk;47.91;47
0400006590;altai rep.;41.20;41
9717166704;moscow city;46.73;46
9721181085;moscow city;46.90;46
7718271673;moscow city;45.20;45
4100037989;kamchatka;86.90;86
5911082166;perm;46.73;46
4501157810;kurgan;94.99;94
6726023697;smolensk;52.21.24;52
0916010663;karachaevo-chercessia;46.71;46
3906278709;kaliningrad;41.20;41
6500005463;sakhalin;93.19;93
7604220900;yaroslavl;71.10;71
3851021941;irkutsk;56.10;56
7536186494;zabaikalsk terr.;47.73;47
7438016590;chelyabinsk;46.38.22;46
7017454816;tomsk;41.20;41
7810720433;sankt-petersburg;68.32.20;68
2801184314;amur;47.76;47
7424011432;chelyabinsk;01.13.10;01
4207014617;kemerovo;71.12.12;71
4317007066;kirov;47.10;47
7704765841;moscow city;68.20;68
4027103522;kaluga;73.10;73
5047030521;moscow city;68.20.20;68
1001352381;karelia;25.11;25
9500015026;kherson;01.11;01
0726017269;kabardino-balkaria;41.20;41
2012010984;chechnya;42.21;42
7455002156;chelyabinsk;45.31.10;45
1435226213;yakutia;73.11;73
0600003613;ingushetia;01.42.10;01
2700008513;khabarovsk;25.61;25
1101002430;komi;52.21.24;52
2724120994;khabarovsk;86.21;86
1001338740;karelia;02.40;02
1327029578;mordovia;46.75;46
7604064842;yaroslavl;62.01;62
2801175359;amur;42.11;42
5011004951;moscow reg.;68.32.20;68
6732009210;smolensk;93.19;93
3000006209;astrakhan;93.12;93
5001155655;moscow reg.;49.41;49
6501274973;sakhalin;41.20;41
0262031542;bashkortostan;42.11;42
1515919527;north ossetia;41.20;41
7728658550;moscow city;53.20.30;53
4018009555;kaluga;08.11.20;08
2801176793;amur;49.40;49
1216005074;marij el;94.20;94
2801258213;amur;71.12;71
7325149736;ulyanovsk;93.29;93
4632276547;kursk;69.10;69
6906008377;tver;01.25.10;01
6027201837;pskov;45.20;45
4705065501;leningrad;69.20;69
5638025982;orenburg;62;62
6723000081;smolensk;56.10;56
5404243907;novosibirsk;24.52;24
7106076919;tula;43.21;43
6125022829;rostov;86.23;86
6804000925;tambov;70.22;70
4401179384;kostroma;70.10;70
3250512818;bryansk;69.10;69
6311162710;samara;94.99;94
0411161822;altai rep.;42.11;42
9106015412;crimea;68.32.20;68
3025009410;astrakhan;69.20;69
7014064776;tomsk;01.25.10;01
9729093680;moscow city;46.66;46
2103005195;chuvashia;46.32;46
9108005716;crimea;47.11;47
2721182865;khabarovsk;73.10;73
5006259954;moscow reg.;49.32;49
0814171647;kalmykia;94.99;94
1612007124;tatarstan;01.40;01
9201507083;sevastopol;47.71;47
1900003422;khakasia;25.99.30;25
0608015811;ingushetia;94.90;94
6000006476;pskov;93.19;93
6732230300;smolensk;41.20;41
4024008158;kaluga;68.32.10;68
2223029159;altai terr.;52.21.24;52
2015011104;chechnya;42.11;42
1601009296;udmurtia;52.10.21;52
6234058906;ryazan;62.01;62
6165559497;rostov;46.73.60;46
5246057694;nizhni novgorod;47.73;47
2464247957;krasnoyarsk;71.20;71
7736128933;moscow city;91.02;91
3441032114;volgograd;45.10;45
9717098451;moscow city;46.72.23;46
1004014285;karelia;94.99;94
5320016834;novgorod;41.20;41
7728446450;moscow city;20.15;20
3662278540;voronezh;43.21;43
7717127170;moscow city;46.90;46
6732238595;smolensk;41.20;41
5047253302;moscow reg.;47.23;47
9701074695;moscow city;68.20;68
7224077362;tyumen;71.12.20;71
5610042258;orenburg;49.41;49
3528330475;vologda;46.19;46
5047206091;moscow reg.;46.52;46
1435189995;yakutia;45.11.10;45
5035043036;moscow reg.;68.32.20;68
0711034180;kabardino-balkaria;69.10;69
5020071545;moscow reg.;73.20.20;73
7725272036;moscow city;46.90;46
7203314735;tyumen;86.22;86
5402019868;novosibirsk;47.99;47
3525129930;vologda;69;69
9710134566;moscow city;46.73;46
3448057559;volgograd;41.20;41
2111000666;chuvashia;47.11;47
2801202468;amur;49.40;49
5507279253;omsk;46.71;46
0600008509;ingushetia;46.46;46
7447316656;chelyabinsk;45.31;45
5751064864;oryol;49.41;49
1002005711;karelia;47.11;47
7100024826;tula;56.10;56
4029065470;kaluga;25.50;25
2703046450;khabarovsk;43.21;43
7841317841;sankt-petersburg;68.10;68
9705007499;moscow reg.;41.20;41
2720062798;khabarovsk;42.12;42
2130231482;chuvashia;86.10;86
3257045175;bryansk;49.39;49
6454105559;saratov;86.21;86
2411028976;khakasia;68.20;68
0916010857;karachaevo-chercessia;49.41;49
3122006870;belgorod;71.10;71
3702951330;ivanovo;94.99;94
3808039364;irkutsk;68.32;68
3801144970;irkutsk;43.99;43
7734694154;moscow city;46.74.20;46
1700003055;tuva;41.20;41
4622004463;kursk;01.50;01
7506004789;zabaikalsk terr.;47.30;47
0901002081;karachaevo-chercessia;49.31.21;49
2367029897;krasnodar;41.20;41
7805779375;sankt-petersburg;71.11;71
8604044044;khanty-mansijsk;45.20;45
5503271670;omsk;70.10;70
1655258588;tatarstan;94.99;94
5507281277;omsk;62.01;62
