inn;company_id;period;region;okved2;okopf_id;details_id
2352051138;9001815;2024;КРАСНОДАРСКИЙ;52.22;12300;52580377
7100021141;11842082;2022;ТУЛЬСКАЯ;56.30;12300;44658064
7100021141;11842082;2023;ТУЛЬСКАЯ;56.30;12300;48115544
7100021141;11842082;2024;ТУЛЬСКАЯ;56.30;12300;50410170
6315624701;969246;2022;САМАРСКАЯ;42.11;12300;45582954
6315624701;969246;2023;САМАРСКАЯ;42.11;12300;48652054
6315624701;969246;2024;САМАРСКАЯ;42.11;12300;51438193
2801265490;11671184;2022;АМУРСКАЯ;71.12;12300;46147225
2801265490;11671184;2023;АМУРСКАЯ;71.12;12300;48506840
2801265490;11671184;2024;АМУРСКАЯ;71.12;12300;50073132
2130215642;11206337;2022;ЧУВАШСКАЯ РЕСПУБЛИКА -;56.10.1;12300;45182108
2130215642;11206337;2023;ЧУВАШСКАЯ РЕСПУБЛИКА -;56.10.1;12300;47996989
2130215642;11206337;2024;ЧУВАШСКАЯ РЕСПУБЛИКА -;56.10.1;12300;50726205
7017412260;9968974;2022;ТОМСКАЯ;47.51.1;12300;44386626
7017412260;9968974;2023;ТОМСКАЯ;47.51.1;12300;49215312
7017412260;9968974;2024;ТОМСКАЯ;47.51.1;12300;51290029
7701313501;7146240;2022;МОСКВА;18.1;12300;45047409
7701313501;7146240;2023;МОСКВА;18.1;12300;49044425
7701313501;7146240;2024;МОСКВА;58;12300;51380966
4007003223;5838479;2022;КАЛУЖСКАЯ;43.21;12300;45826651
4007003223;5838479;2023;КАЛУЖСКАЯ;43.21;12300;48960899
4007003223;5838479;2024;КАЛУЖСКАЯ;43.21;12300;51006512
2628060365;11379190;2022;СТАВРОПОЛЬСКИЙ;86.23;12300;45107228
2628060365;11379190;2023;СТАВРОПОЛЬСКИЙ;86.23;12300;47484921
2628060365;11379190;2024;СТАВРОПОЛЬСКИЙ;86.23;12300;50701059
4429003447;5999649;2022;КОСТРОМСКАЯ;41.20;12300;44760271
4429003447;5999649;2023;КОСТРОМСКАЯ;41.20;12300;48031691
4429003447;5999649;2024;КОСТРОМСКАЯ;41.20;12300;51559423
2130221011;11408795;2022;ЧУВАШСКАЯ РЕСПУБЛИКА -;56.10;12300;45415242
2130221011;11408795;2023;ЧУВАШСКАЯ РЕСПУБЛИКА -;56.10;12300;48833809
2130221011;11408795;2024;ЧУВАШСКАЯ РЕСПУБЛИКА -;56.10;12300;52052337
6617011123;123443;2022;СВЕРДЛОВСКАЯ;35.30.5;12300;46170987
6617011123;123443;2023;СВЕРДЛОВСКАЯ;35.30.5;12300;49386186
6617011123;123443;2024;СВЕРДЛОВСКАЯ;35.30.5;12300;52195730
1514007119;2981085;2022;СЕВЕРНАЯ ОСЕТИЯ - АЛАНИЯ;47.59.9;12300;46543215
1514007119;2981085;2023;СЕВЕРНАЯ ОСЕТИЯ - АЛАНИЯ;47.59.9;12300;49622811
1514007119;2981085;2024;СЕВЕРНАЯ ОСЕТИЯ - АЛАНИЯ;47.59.9;12300;52506684
4105040696;2640875;2022;КАМЧАТСКИЙ;70.22;12300;43878431
4105040696;2640875;2023;КАМЧАТСКИЙ;01.5;12300;49305959
4105040696;2640875;2024;КАМЧАТСКИЙ;01.5;12300;51902842
1684001026;11743404;2022;ТАТАРСТАН;69.20;12300;46218892
1684001026;11743404;2023;ТАТАРСТАН;69.20;12300;48256792
1684001026;11743404;2024;ТАТАРСТАН;69.20;12300;51273719
6678097400;10850979;2022;СВЕРДЛОВСКАЯ;41.20;12300;47097010
6678097400;10850979;2023;СВЕРДЛОВСКАЯ;41.20;12300;49703654
6678097400;10850979;2024;СВЕРДЛОВСКАЯ;41.2;12300;52837250
3257052729;10200704;2022;БРЯНСКАЯ;42.12;12300;44904719
3257052729;10200704;2023;БРЯНСКАЯ;42.12;12300;47388879
3257052729;10200704;2024;БРЯНСКАЯ;42.12;12300;50294186
3257048592;10020468;2022;БРЯНСКАЯ;56.30;12300;45961408
3257048592;10020468;2023;БРЯНСКАЯ;56.30;12300;49136260
3257048592;10020468;2024;БРЯНСКАЯ;56.30;12300;51720971
1001352688;11553119;2022;КАРЕЛИЯ;73.11;12300;46495559
1001352688;11553119;2023;КАРЕЛИЯ;73.11;12300;49843145
1001352688;11553119;2024;КАРЕЛИЯ;73.11;12300;52450392
3913014633;11764836;2022;КАЛИНИНГРАДСКАЯ;56.10;12300;45799286
3913014633;11764836;2023;КАЛИНИНГРАДСКАЯ;56.10;12300;49091531
3913014633;11764836;2024;КАЛИНИНГРАДСКАЯ;56.10;12300;51682016
5503098175;2093775;2022;ОМСКАЯ;71.11;12300;45899524
5503098175;2093775;2023;ОМСКАЯ;71.11;12300;49073689
5503098175;2093775;2024;ОМСКАЯ;71.11;12300;51204143
6382060063;2906476;2022;САМАРСКАЯ;52.29;12300;46329710
6382060063;2906476;2023;САМАРСКАЯ;52.29;12300;49346757
6382060063;2906476;2024;САМАРСКАЯ;52.29;12300;52292982
1660340830;11239618;2022;ТАТАРСТАН;43.21;12300;46403048
1660340830;11239618;2023;ТАТАРСТАН;43.21;12300;49661384
1660340830;11239618;2024;ТАТАРСТАН;43.21;12300;52380541
6230054770;1336729;2022;РЯЗАНСКАЯ;43.29;12300;45218438
6230054770;1336729;2023;РЯЗАНСКАЯ;43.29;12300;48618015
6230054770;1336729;2024;РЯЗАНСКАЯ;43.29;12300;51263970
3525475994;11737602;2022;ВОЛОГОДСКАЯ;46.90;12300;45479839
3525475994;11737602;2023;ВОЛОГОДСКАЯ;46.90;12300;47599504
3525475994;11737602;2024;ВОЛОГОДСКАЯ;46.90;12300;50552690
7020012092;6345722;2022;ТОМСКАЯ;71.12.45;12267;46613011
7020012092;6345722;2023;ТОМСКАЯ;71.12.45;12267;48776082
7020012092;6345722;2024;ТОМСКАЯ;71.12.45;12267;51598084
0274019902;3325938;2022;Башкортостан;72.19;12300;45244172
0274019902;3325938;2023;Башкортостан;72.19;12300;48385003
0274019902;3325938;2024;Башкортостан;72.19;12300;52008423
5720025223;11624887;2022;ЧЕЧЕНСКАЯ;43.22;12300;44304941
5720025223;11624887;2023;ЧЕЧЕНСКАЯ;43.22;12300;49792414
5720025223;11624887;2024;ЧЕЧЕНСКАЯ;43.22;12300;50442480
6501249600;7646373;2022;САХАЛИНСКАЯ;45.3;12300;44276221
6501249600;7646373;2023;САХАЛИНСКАЯ;45.3;12300;49030771
6501249600;7646373;2024;САХАЛИНСКАЯ;45.3;12300;51082635
1435291935;9098166;2022;САХА /ЯКУТИЯ/;69.20;12300;44572499
1435291935;9098166;2023;САХА /ЯКУТИЯ/;69.20;12300;48295021
1435291935;9098166;2024;САХА /ЯКУТИЯ/;69.20;12300;51216692
7724847806;7431651;2022;МОСКВА;47.62.2;12300;44814830
7724847806;7431651;2023;МОСКВА;47.62.2;12300;48117364
7724847806;7431651;2024;МОСКВА;47.62.2;12300;51035192
7017287604;3639975;2022;ТОМСКАЯ;70.22;12267;46122081
7017287604;3639975;2023;ТОМСКАЯ;70.22;12267;48881724
7017287604;3639975;2024;ТОМСКАЯ;70.22;12267;51921786
0800002568;11787427;2022;КАЛМЫКИЯ;68.20;12300;46154909
0800002568;11787427;2023;КАЛМЫКИЯ;68.20;12300;49672439
0800002568;11787427;2024;КАЛМЫКИЯ;68.20;12300;50403805
3906315742;8345220;2022;КАЛИНИНГРАДСКАЯ;46.73;12300;44907363
3906315742;8345220;2023;КАЛИНИНГРАДСКАЯ;46.73;12300;47940784
3906315742;8345220;2024;КАЛИНИНГРАДСКАЯ;46.73;12300;50241503
4501054639;6857565;2022;КУРГАНСКАЯ;25.11;12300;45293704
4501054639;6857565;2023;КУРГАНСКАЯ;25.11;12300;48127539
4501054639;6857565;2024;КУРГАНСКАЯ;25.11;12300;50729437
1900000929;11512455;2022;ХАКАСИЯ;42.21;12300;44469406
1900000929;11512455;2023;ХАКАСИЯ;42.21;12300;49306888
1900000929;11512455;2024;ХАКАСИЯ;42.21;12300;51086959
5035027891;9497383;2022;МОСКОВСКАЯ;45.20;12300;45783700
5035027891;9497383;2023;МОСКОВСКАЯ;45.20;12300;47518360
5035027891;9497383;2024;МОСКОВСКАЯ;45.20;12300;51074925
0326543450;9577850;2022;БУРЯТИЯ;43.29;12300;46134098
0326543450;9577850;2023;БУРЯТИЯ;43.29;12300;49891116
0326543450;9577850;2024;БУРЯТИЯ;43.29;12300;51914054
7017271812;3860843;2022;ТОМСКАЯ;25.11;12300;44477468
7017271812;3860843;2023;ТОМСКАЯ;25.11;12300;47765866
7017271812;3860843;2024;ТОМСКАЯ;25.11;12300;50682265
7722830878;8276754;2022;МОСКВА;68.20;12300;46052348
7722830878;8276754;2023;МОСКВА;68.20;12300;49658715
7722830878;8276754;2024;МОСКВА;68.20;12300;51542192
0105060624;2088604;2022;АДЫГЕЯ;56.10;12300;45876329
0105060624;2088604;2023;АДЫГЕЯ;56.10;12300;48554604
0105060624;2088604;2024;АДЫГЕЯ;56.10;12300;51320809
1001243181;3251502;2022;КАРЕЛИЯ;68.20.2;12300;45385588
1001243181;3251502;2023;КАРЕЛИЯ;70.22;12300;48344640
1001243181;3251502;2024;КАРЕЛИЯ;70.22;12300;50360804
6722028951;9231714;2022;СМОЛЕНСКАЯ;01.50;12300;45052975
6722028951;9231714;2023;СМОЛЕНСКАЯ;01.50;12300;48247620
6722028951;9231714;2024;СМОЛЕНСКАЯ;01.50;12300;51246041
4345481415;10714370;2022;КИРОВСКАЯ;41.20;12300;44790408
4345481415;10714370;2023;КИРОВСКАЯ;41.20;12300;49938085
4345481415;10714370;2024;КИРОВСКАЯ;41.20;12300;50712105
5504250048;8966361;2022;ОМСКАЯ;41.20;12300;45900355
5504250048;8966361;2023;ОМСКАЯ;41.20;12300;49260429
5504250048;8966361;2024;ОМСКАЯ;41.20;12300;51076985
5838011786;9924931;2022;ПЕНЗЕНСКАЯ;68.31.12;12300;44947582
5838011786;9924931;2023;ПЕНЗЕНСКАЯ;68.31.12;12300;47812350
5838011786;9924931;2024;ПЕНЗЕНСКАЯ;68.31.12;12300;50400651
6732212357;11608402;2022;СМОЛЕНСКАЯ;25.61;12300;46535577
6732212357;11608402;2023;СМОЛЕНСКАЯ;25.61;12300;48773812
6732212357;11608402;2024;СМОЛЕНСКАЯ;25.61;12300;51626188
2463072616;1193950;2022;КРАСНОЯРСКИЙ;70.22;12300;44169983
2463072616;1193950;2023;КРАСНОЯРСКИЙ;70.22;12300;47409836
2463072616;1193950;2024;КРАСНОЯРСКИЙ;70.22;12300;50263720
4401147625;8227560;2022;КОСТРОМСКАЯ;71.11.1;12300;46481878
4401147625;8227560;2023;КОСТРОМСКАЯ;71.11.1;12300;49841853
4401147625;8227560;2024;КОСТРОМСКАЯ;71.11.1;12300;52728651
7627030504;2852659;2022;ЯРОСЛАВСКАЯ;93.29.9;12300;46593431
7627030504;2852659;2023;ЯРОСЛАВСКАЯ;93.29.9;12300;49964153
7627030504;2852659;2024;ЯРОСЛАВСКАЯ;93.29.9;12300;52655780
7810958080;11989806;2022;САНКТ-ПЕТЕРБУРГ;43.22;12300;44117783
7810958080;11989806;2023;САНКТ-ПЕТЕРБУРГ;41.20;12300;47522796
7810958080;11989806;2024;САНКТ-ПЕТЕРБУРГ;41.20;12300;50508816
2116004992;11767787;2022;НИЖЕГОРОДСКАЯ;10.51;12300;44398535
2116004992;11767787;2023;НИЖЕГОРОДСКАЯ;10.51;12300;50010842
2116004992;11767787;2024;НИЖЕГОРОДСКАЯ;10.51;12300;50798579
7313004849;1517746;2022;УЛЬЯНОВСКАЯ;56.10;12300;46189626
7313004849;1517746;2023;УЛЬЯНОВСКАЯ;56.10;12300;49323605
7313004849;1517746;2024;УЛЬЯНОВСКАЯ;56.10;12300;52168229
0608006359;33870;2022;ИНГУШЕТИЯ;43.12;12300;46600531
0608006359;33870;2023;ИНГУШЕТИЯ;43.12;12300;48240592
0608006359;33870;2024;ИНГУШЕТИЯ;43.12;12300;50112360
5251112950;136873;2022;НИЖЕГОРОДСКАЯ;47.2;12300;45997782
5251112950;136873;2023;НИЖЕГОРОДСКАЯ;47.2;12300;48943956
5251112950;136873;2024;НИЖЕГОРОДСКАЯ;47.2;12300;52649767
7106081154;10507944;2022;ТУЛЬСКАЯ;42.22;12300;44568029
7106081154;10507944;2023;ТУЛЬСКАЯ;42.22;12300;47300811
7106081154;10507944;2024;ТУЛЬСКАЯ;42.22;12300;50198312
1644090809;10395401;2022;ТАТАРСТАН;73.11;12300;46533175
1644090809;10395401;2023;ТАТАРСТАН;73.11;12300;49723057
1644090809;10395401;2024;ТАТАРСТАН;73.11;12300;51467955
9102044660;8954907;2022;КРЫМ;73.11;12300;45087472
9102044660;8954907;2023;КРЫМ;73.11;12300;49638215
9102044660;8954907;2024;КРЫМ;73.11;12300;51383451
1901057460;242380;2022;ХАКАСИЯ;41.20;12300;47049350
1901057460;242380;2023;ХАКАСИЯ;41.20;12300;49726435
1901057460;242380;2024;ХАКАСИЯ;41.20;12300;52776298
9710090421;11616699;2022;НИЖЕГОРОДСКАЯ;73.11;12300;45342013
9710090421;11616699;2023;НИЖЕГОРОДСКАЯ;73.11;12300;49514498
9710090421;11616699;2024;НИЖЕГОРОДСКАЯ;73.11;12300;51337284
8904071017;7678344;2022;ЯМАЛО-НЕНЕЦКИЙ;86.21;12300;45620264
8904071017;7678344;2023;ЯМАЛО-НЕНЕЦКИЙ;86.21;12300;49804328
8904071017;7678344;2024;ЯМАЛО-НЕНЕЦКИЙ;86.21;12300;51370850
4345475926;10518619;2022;КИРОВСКАЯ;52.29;12300;44722230
4345475926;10518619;2023;КИРОВСКАЯ;52.29;12300;48082036
4345475926;10518619;2024;КИРОВСКАЯ;52.29;12300;51165601
7810457486;8382048;2022;САНКТ-ПЕТЕРБУРГ;86.23;12300;46444539
7810457486;8382048;2023;САНКТ-ПЕТЕРБУРГ;86.23;12300;49655182
7810457486;8382048;2024;САНКТ-ПЕТЕРБУРГ;86.23;12300;51532228
6450114182;11777457;2022;САРАТОВСКАЯ;49.41;12300;44361150
6450114182;11777457;2023;САРАТОВСКАЯ;49.41;12300;49545376
6450114182;11777457;2024;САРАТОВСКАЯ;49.41;12300;52535198
9703002431;11143244;2022;МОСКВА;43.34;12300;46443297
9703002431;11143244;2023;МОСКВА;43.34;12300;48996979
9703002431;11143244;2024;МОСКВА;43.34;12300;52410124
5257187261;10930792;2022;НИЖЕГОРОДСКАЯ;73.11;12300;44563399
5257187261;10930792;2023;НИЖЕГОРОДСКАЯ;73.11;12300;47256196
5257187261;10930792;2024;НИЖЕГОРОДСКАЯ;73.11;12300;50120868
3250531803;7385022;2022;БРЯНСКАЯ;86;12300;46604673
3250531803;7385022;2023;БРЯНСКАЯ;86;12300;48132829
3250531803;7385022;2024;БРЯНСКАЯ;86;12300;50622431
4345405171;9023043;2022;КИРОВСКАЯ;46.73.1;12300;45867533
4345405171;9023043;2023;КИРОВСКАЯ;46.73.1;12300;50029701
4345405171;9023043;2024;КИРОВСКАЯ;46.73.1;12300;52086618
2536314235;10852811;2022;ПРИМОРСКИЙ;47.11;12300;44409829
2536314235;10852811;2023;ПРИМОРСКИЙ;47.11;12300;48117071
2536314235;10852811;2024;ПРИМОРСКИЙ;47.11;12300;51056371
4027130893;10005462;2022;КАЛУЖСКАЯ;71.12.1;12300;44191604
4027130893;10005462;2023;КАЛУЖСКАЯ;71.12.1;12300;49525340
4027130893;10005462;2024;КАЛУЖСКАЯ;71.12.1;12300;52331229
2465286349;7757912;2022;КРАСНОЯРСКИЙ;25.1;12300;46968491
2465286349;7757912;2023;КРАСНОЯРСКИЙ;25.1;12300;48619098
2465286349;7757912;2024;КРАСНОЯРСКИЙ;25.1;12300;52771118
7814607862;8468112;2022;САНКТ-ПЕТЕРБУРГ;69.20;12300;45120933
7814607862;8468112;2023;САНКТ-ПЕТЕРБУРГ;69.20;12300;49588236
7814607862;8468112;2024;САНКТ-ПЕТЕРБУРГ;69.20;12300;52198691
3328021670;10832470;2022;ВЛАДИМИРСКАЯ;45.20;12300;46964846
3328021670;10832470;2023;ВЛАДИМИРСКАЯ;45.20;12300;47608577
3328021670;10832470;2024;ВЛАДИМИРСКАЯ;45.20;12300;50742490
3849052251;9145615;2022;ИРКУТСКАЯ;43.22;12300;44324139
3849052251;9145615;2023;ИРКУТСКАЯ;43.22;12300;47357640
3849052251;9145615;2024;ИРКУТСКАЯ;43.22;12300;50641168
7327048010;5388937;2022;УЛЬЯНОВСКАЯ;41.20;12300;46325981
7327048010;5388937;2023;УЛЬЯНОВСКАЯ;41.20;12300;49588445
7327048010;5388937;2024;УЛЬЯНОВСКАЯ;41.20;12300;52745574
5751035447;4152013;2022;ОРЛОВСКАЯ;86.23;12300;44512865
5751035447;4152013;2023;ОРЛОВСКАЯ;86.23;12300;47618198
5751035447;4152013;2024;ОРЛОВСКАЯ;86.23;12300;50581905
7610090978;5151711;2022;ЯРОСЛАВСКАЯ;41.20;12300;44806722
7610090978;5151711;2023;ЯРОСЛАВСКАЯ;41.20;12300;49153806
7610090978;5151711;2024;ЯРОСЛАВСКАЯ;41.20;12300;50805948
1328018723;11320895;2022;МОРДОВИЯ;70.22;12300;46213676
1328018723;11320895;2023;МОРДОВИЯ;70.22;12300;49762574
1328018723;11320895;2024;МОРДОВИЯ;70.22;12300;51365198
7728493146;11197335;2022;МОСКВА;41.20;12300;44482444
7728493146;11197335;2023;МОСКВА;41.20;12300;47682801
7728493146;11197335;2024;МОСКВА;41.20;12300;50429953
7328056335;1215798;2022;УЛЬЯНОВСКАЯ;73.11;12300;46315938
7328056335;1215798;2023;УЛЬЯНОВСКАЯ;73.11;12300;49260489
7328056335;1215798;2024;УЛЬЯНОВСКАЯ;73.11;12300;52344409
3461068260;11953073;2022;ВОЛГОГРАДСКАЯ;45.11;12300;45125568
3461068260;11953073;2023;ВОЛГОГРАДСКАЯ;70.10.2;12300;48527694
3461068260;11953073;2024;ВОЛГОГРАДСКАЯ;70.10.2;12300;51125602
0277958900;11851073;2022;БАШКОРТОСТАН;46.75;12300;44032034
0277958900;11851073;2023;БАШКОРТОСТАН;46.75;12300;49620122
0277958900;11851073;2024;БАШКОРТОСТАН;46.75;12300;50662765
1827020326;3143975;2022;УДМУРТСКАЯ;56.10;12300;44271233
1827020326;3143975;2023;УДМУРТСКАЯ;56.10;12300;47419741
1827020326;3143975;2024;УДМУРТСКАЯ;56.10;12300;50417225
8706006383;7980248;2022;ЧУКОТСКИЙ;47.11;12300;45802304
8706006383;7980248;2023;ЧУКОТСКИЙ;47.11;12300;49295210
8706006383;7980248;2024;ЧУКОТСКИЙ;47.11;12300;52601145
0601018122;232308;2022;ИНГУШЕТИЯ;68.20.2;12300;44254658
0601018122;232308;2023;ИНГУШЕТИЯ;68.20.2;12300;47374796
0601018122;232308;2024;ИНГУШЕТИЯ;68.20.2;12300;50242300
7802927177;11880788;2022;САНКТ-ПЕТЕРБУРГ;62.01;12300;44797434
7802927177;11880788;2023;САНКТ-ПЕТЕРБУРГ;62.01;12300;48286846
7802927177;11880788;2024;САНКТ-ПЕТЕРБУРГ;62.01;12300;51156957
7708369158;11218407;2022;КУРГАНСКАЯ;26.51.4;12300;46188929
7708369158;11218407;2023;КУРГАНСКАЯ;26.51.4;12300;48638404
7708369158;11218407;2024;КУРГАНСКАЯ;26.51.4;12300;52292095
3015090323;2497191;2022;АСТРАХАНСКАЯ;41.20;12300;44835154
3015090323;2497191;2023;АСТРАХАНСКАЯ;41.20;12300;48931426
3015090323;2497191;2024;АСТРАХАНСКАЯ;41.20;12300;51790531
7116131012;1988786;2022;ТУЛЬСКАЯ;47.52.73;12300;45841034
7116131012;1988786;2023;ТУЛЬСКАЯ;47.52.73;12300;49272311
7116131012;1988786;2024;ТУЛЬСКАЯ;47.52.73;12300;52757667
2222822968;8428421;2022;АЛТАЙСКИЙ;47.54;12300;46666374
2222822968;8428421;2023;АЛТАЙСКИЙ;47.54;12300;49410560
2222822968;8428421;2024;АЛТАЙСКИЙ;47.54;12300;51966373
2130028240;1080319;2022;ЧУВАШСКАЯ РЕСПУБЛИКА -;46.69.9;12300;45513431
2130028240;1080319;2023;ЧУВАШСКАЯ РЕСПУБЛИКА -;45.11.1;12300;49583905
2130028240;1080319;2024;ЧУВАШСКАЯ РЕСПУБЛИКА -;45.11.1;12300;52264988
7327032170;9393208;2022;УЛЬЯНОВСКАЯ;73.11;12300;46444535
7327032170;9393208;2023;УЛЬЯНОВСКАЯ;73.11;12300;49106321
7327032170;9393208;2024;УЛЬЯНОВСКАЯ;73.11;12300;50704927
7203283117;7530502;2022;ТЮМЕНСКАЯ;49.41;12300;45063993
7203283117;7530502;2023;ТЮМЕНСКАЯ;49.41;12300;49807841
7203283117;7530502;2024;ТЮМЕНСКАЯ;49.41;12300;50472980
7610109121;9128766;2022;ЯРОСЛАВСКАЯ;70.22;12300;45733941
7610109121;9128766;2023;ЯРОСЛАВСКАЯ;70.22;12300;48946013
7610109121;9128766;2024;ЯРОСЛАВСКАЯ;70.22;12300;51345741
2901224909;761693;2022;АРХАНГЕЛЬСКАЯ;47.73;12300;45618608
2901224909;761693;2023;АРХАНГЕЛЬСКАЯ;47.73;12300;48658823
2901224909;761693;2024;АРХАНГЕЛЬСКАЯ;47.73;12300;51181346
3702104670;9148257;2022;ИВАНОВСКАЯ;42.11;12300;46513167
3702104670;9148257;2023;ИВАНОВСКАЯ;42.11;12300;49743677
3702104670;9148257;2024;ИВАНОВСКАЯ;42.11;12300;50531046
5047197961;10213029;2022;МОСКОВСКАЯ;46.71.1;12300;46171139
5047197961;10213029;2023;МОСКОВСКАЯ;46.71.1;12300;49287281
5047197961;10213029;2024;МОСКОВСКАЯ;46.71.1;12300;52065838
5321178789;9464926;2022;НОВГОРОДСКАЯ;45.31.1;12300;45392513
5321178789;9464926;2023;НОВГОРОДСКАЯ;45.31.1;12300;48460908
5321178789;9464926;2024;НОВГОРОДСКАЯ;45.31.1;12300;50937438
1838022967;11074084;2022;УДМУРТСКАЯ;86.23;12300;46545179
1838022967;11074084;2023;УДМУРТСКАЯ;86.23;12300;49658943
1838022967;11074084;2024;УДМУРТСКАЯ;86.23;12300;52312205
5507252967;10119053;2022;ОМСКАЯ;41.20;12300;45515539
5507252967;10119053;2023;ОМСКАЯ;41.20;12300;48529441
5507252967;10119053;2024;ОМСКАЯ;41.20;12300;52930762
3528257218;9822732;2022;ВОЛОГОДСКАЯ;96.04;12300;44308549
3528257218;9822732;2023;ВОЛОГОДСКАЯ;96.04;12300;48739471
3528257218;9822732;2024;ВОЛОГОДСКАЯ;96.04;12300;50606923
1435315664;10050108;2022;САХА /ЯКУТИЯ/;42.21;12300;44120550
1435315664;10050108;2023;САХА /ЯКУТИЯ/;42.21;12300;49412216
1435315664;10050108;2024;САХА /ЯКУТИЯ/;42.21;12300;50468927
9103082756;10059037;2022;КРЫМ;86.10;12247;44935245
9103082756;10059037;2023;КРЫМ;86.90.4;12247;48923902
9103082756;10059037;2024;КРЫМ;86.90.4;12247;52808103
2721139806;5634960;2022;ХАБАРОВСКИЙ;62.02;12300;44628064
2721139806;5634960;2023;ХАБАРОВСКИЙ;62.02;12300;48100439
2721139806;5634960;2024;ХАБАРОВСКИЙ;62.02;12300;50234532
5407499167;8779283;2022;НОВОСИБИРСКАЯ;69.20;12300;44698101
5407499167;8779283;2023;НОВОСИБИРСКАЯ;69.20;12300;47968594
5407499167;8779283;2024;НОВОСИБИРСКАЯ;69.20;12300;50755523
7743381430;11852315;2022;МОСКВА;41.20;12300;47104401
7743381430;11852315;2023;МОСКВА;41.20;12300;49494211
7743381430;11852315;2024;МОСКВА;41.20;12300;52738166
3808001120;1739673;2022;ИРКУТСКАЯ;43.21;12300;45920571
3808001120;1739673;2023;ИРКУТСКАЯ;43.21;12300;48111054
3808001120;1739673;2024;ИРКУТСКАЯ;43.21;12300;52626602
7536139254;8165936;2022;ЗАБАЙКАЛЬСКИЙ;42.11;12300;45587760
7536139254;8165936;2023;ЗАБАЙКАЛЬСКИЙ;42.11;12300;47883987
7536139254;8165936;2024;ЗАБАЙКАЛЬСКИЙ;42.11;12300;51048006
3662263310;10688971;2022;ВОРОНЕЖСКАЯ;42.21;12300;46315221
3662263310;10688971;2023;ВОРОНЕЖСКАЯ;42.21;12300;48983876
3662263310;10688971;2024;ВОРОНЕЖСКАЯ;42.21;12300;50512728
4708013438;472629;2022;ЛЕНИНГРАДСКАЯ;52.23;12300;44899380
4708013438;472629;2023;ЛЕНИНГРАДСКАЯ;52.23;12300;48261019
4708013438;472629;2024;ЛЕНИНГРАДСКАЯ;52.23;12300;50935028
8602076273;2688818;2022;Ханты-Мансийский Автономный округ - Югра;86.21;12300;45577690
8602076273;2688818;2023;Ханты-Мансийский Автономный округ - Югра;86.23;12300;48627062
8602076273;2688818;2024;Ханты-Мансийский Автономный округ - Югра;86.23;12300;51976661
7204180731;273340;2022;ТЮМЕНСКАЯ;41.20;12300;44368168
7204180731;273340;2023;ТЮМЕНСКАЯ;41.20;12300;47441763
7204180731;273340;2024;ТЮМЕНСКАЯ;41.20;12300;50254868
5751035662;4152306;2022;ОРЛОВСКАЯ;25.62;12300;45954218
5751035662;4152306;2023;ОРЛОВСКАЯ;25.62;12300;49104286
5751035662;4152306;2024;ОРЛОВСКАЯ;25.62;12300;51922508
7610108110;9061050;2022;ЯРОСЛАВСКАЯ;68.20.2;12300;44634985
